Stock ID,Model Photo Links,Model Video Links,FTP Folder,Photo Count,Video Count
4907_5148_5163_5164_5159_5460,,"https://colourdiam.com/Product/Jewellery/Model%20images/4907_5148_5163_5164_5159_5460/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/4907_5148_5163_5164_5159_5460/4907_5148.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/4907_5148_5163_5164_5159_5460/4907_5148_1.mp4",4907_5148_5163_5164_5159_5460,0,3
5171,"https://colourdiam.com/Product/Jewellery/Model%20images/5171/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/5171/5171%20%282%29.jpeg",https://colourdiam.com/Product/Jewellery/Model%20images/5171/video.mp4,5171,2,1
5201,https://colourdiam.com/Product/Jewellery/Model%20images/5201/model%20.jpeg,"https://colourdiam.com/Product/Jewellery/Model%20images/5201/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/5201/5201.mp4",5201,1,2
5335,,"https://colourdiam.com/Product/Jewellery/Model%20images/5335/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/5335/5335.mp4",5335,0,2
5465,"https://colourdiam.com/Product/Jewellery/Model%20images/5465/2.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/5465/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/5465/3.jpeg",,5465,3,0
5531,,"https://colourdiam.com/Product/Jewellery/Model%20images/5531/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/5531/5531.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/5531/731.mp4",5531,0,3
5545_5581_4685,"https://colourdiam.com/Product/Jewellery/Model%20images/5545_5581_4685/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/5545_5581_4685/3.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/5545_5581_4685/Untitled%20Project%20-%202026-06-30T133213.541.jpeg",,5545_5581_4685,3,0
5551,"https://colourdiam.com/Product/Jewellery/Model%20images/5551/1.jpg
https://colourdiam.com/Product/Jewellery/Model%20images/5551/2.jpg
https://colourdiam.com/Product/Jewellery/Model%20images/5551/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/5551/5551.1.jpg
https://colourdiam.com/Product/Jewellery/Model%20images/5551/5555.2.jpg
https://colourdiam.com/Product/Jewellery/Model%20images/5551/WhatsApp%20Image%202025-08-22%20at%2011.50.28_8dcd2fcd.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/5551/3.jpg
https://colourdiam.com/Product/Jewellery/Model%20images/5551/5551.3.jpg
https://colourdiam.com/Product/Jewellery/Model%20images/5551/4.jpg
https://colourdiam.com/Product/Jewellery/Model%20images/5551/5551.4.jpg
https://colourdiam.com/Product/Jewellery/Model%20images/5551/5.jpg
https://colourdiam.com/Product/Jewellery/Model%20images/5551/WhatsApp%20Image%202025-08-22%20at%2011.50.28_a980f931.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/5551/5551.jpg
https://colourdiam.com/Product/Jewellery/Model%20images/5551/WhatsApp%20Image%202025-08-22%20at%2011.50.27_401751dd.jpeg",,5551,14,0
5585_5361,"https://colourdiam.com/Product/Jewellery/Model%20images/5585_5361/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/5585_5361/Untitled%20Project%20-%202025-12-19T172936.579.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/5585_5361/2602121-20240720-123044.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/5585_5361/3573937-20240720-123044.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/5585_5361/7745280-20240720-123045.jpeg",https://colourdiam.com/Product/Jewellery/Model%20images/5585_5361/video.mp4,5585_5361,5,1
5597,,https://colourdiam.com/Product/Jewellery/Model%20images/5597/video.mp4,5597,0,1
5618_5658,"https://colourdiam.com/Product/Jewellery/Model%20images/5618_5658/1.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/5618_5658/center.jpeg",,5618_5658,2,0
5708,"https://colourdiam.com/Product/Jewellery/Model%20images/5708/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/5708/5708.1.jpeg",,5708,2,0
5735,,https://colourdiam.com/Product/Jewellery/Model%20images/5735/video.mp4,5735,0,1
5766,,"https://colourdiam.com/Product/Jewellery/Model%20images/5766/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/5766/5766.mp4",5766,0,2
5769,,"https://colourdiam.com/Product/Jewellery/Model%20images/5769/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/5769/5769.mp4",5769,0,2
5932,"https://colourdiam.com/Product/Jewellery/Model%20images/5932/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/5932/4388730-20240720-115004.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/5932/5988141-20240720-115004.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/5932/8245570-20240720-115004.jpeg",,5932,4,0
5983,,https://colourdiam.com/Product/Jewellery/Model%20images/5983/video.mp4,5983,0,1
5991,"https://colourdiam.com/Product/Jewellery/Model%20images/5991/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/5991/4D5BE253-DD28-4848-A8E6-F8DF044F4AAD.JPEG
https://colourdiam.com/Product/Jewellery/Model%20images/5991/84C8D2CA-23C8-47CD-A0A4-16B5BC7E19A7.JPEG
https://colourdiam.com/Product/Jewellery/Model%20images/5991/F5B79CF5-B5C3-4311-86F8-C93D3970DC46.JPEG
https://colourdiam.com/Product/Jewellery/Model%20images/5991/813AB1C1-D109-4A90-B85C-8637B5FEE184.JPEG
https://colourdiam.com/Product/Jewellery/Model%20images/5991/FE8F79DB-8F34-48AE-B9D7-EB0DDE61C478.JPEG
https://colourdiam.com/Product/Jewellery/Model%20images/5991/EA0F1DD7-D12B-4AD9-A044-08BD0826C630.JPEG
https://colourdiam.com/Product/Jewellery/Model%20images/5991/B908EDFB-EB05-448D-B9E4-4E0A85E3167C.JPEG",https://colourdiam.com/Product/Jewellery/Model%20images/5991/video.mov,5991,8,1
6001,,https://colourdiam.com/Product/Jewellery/Model%20images/6001/video.mp4,6001,0,1
6002,,https://colourdiam.com/Product/Jewellery/Model%20images/6002/video.mp4,6002,0,1
6009,https://colourdiam.com/Product/Jewellery/Model%20images/6009/center.jpeg,,6009,1,0
